Source.Wells,Source.Plate,strain,mating,drug,Target.Wells,Target.Plate,Volume
A05,01_01,APK x,x,KAN,A01,x_KAN_1,2
A07,01_01,APK x,x,KAN,A02,x_KAN_1,2
B06,01_01,APK x,x,KAN,A03,x_KAN_1,2
B08,01_01,APK x,x,KAN,A04,x_KAN_1,2
C05,01_01,APK x,x,KAN,A05,x_KAN_1,2
D06,01_01,APK x,x,KAN,A06,x_KAN_1,2
D07,01_01,APK x,x,KAN,A07,x_KAN_1,2
E09,01_01,AFF x,x,KAN,A08,x_KAN_1,2
E10,01_01,AFF x,x,KAN,A09,x_KAN_1,2
F06,01_01,BNH x,x,KAN,A10,x_KAN_1,2
F09,01_01,AFF x,x,KAN,A11,x_KAN_1,2
F10,01_01,AFF x,x,KAN,A12,x_KAN_1,2
F11,01_01,AFF x,x,KAN,B01,x_KAN_1,2
F12,01_01,AFF x,x,KAN,B02,x_KAN_1,2
G02,01_01,BFR x,x,KAN,B03,x_KAN_1,2
G03,01_01,BFR x,x,KAN,B05,x_KAN_1,2
G06,01_01,BNH x,x,KAN,B06,x_KAN_1,2
G07,01_01,BNH x,x,KAN,B07,x_KAN_1,2
G09,01_01,AFF x,x,KAN,B08,x_KAN_1,2
G10,01_01,AFF x,x,KAN,B09,x_KAN_1,2
G11,01_01,AFF x,x,KAN,B10,x_KAN_1,2
G12,01_01,AFF x,x,KAN,B11,x_KAN_1,2
H03,01_01,BFR x,x,KAN,B12,x_KAN_1,2
H08,01_01,BNH x,x,KAN,C01,x_KAN_1,2
H09,01_01,AFF x,x,KAN,C02,x_KAN_1,2
H10,01_01,AFF x,x,KAN,C03,x_KAN_1,2
H11,01_01,AFF x,x,KAN,C04,x_KAN_1,2
E05,01_02,ADP x,x,KAN,C05,x_KAN_1,2
E06,01_02,ADP x,x,KAN,C06,x_KAN_1,2
E07,01_02,ADP x,x,KAN,C07,x_KAN_1,2
E08,01_02,ADP x,x,KAN,C08,x_KAN_1,2
F05,01_02,ADP x,x,KAN,C09,x_KAN_1,2
F06,01_02,ADP x,x,KAN,C10,x_KAN_1,2
F07,01_02,ADP x,x,KAN,C11,x_KAN_1,2
F08,01_02,ADP x,x,KAN,C12,x_KAN_1,2
G05,01_02,ADP x,x,KAN,D01,x_KAN_1,2
G06,01_02,ADP x,x,KAN,D02,x_KAN_1,2
G07,01_02,ADP x,x,KAN,D03,x_KAN_1,2
G08,01_02,ADP x,x,KAN,D04,x_KAN_1,2
H05,01_02,ADP x,x,KAN,D05,x_KAN_1,2
H06,01_02,ADP x,x,KAN,D06,x_KAN_1,2
H07,01_02,ADP x,x,KAN,D07,x_KAN_1,2
H08,01_02,ADP x,x,KAN,D08,x_KAN_1,2
A04,01_03,CCH x,x,KAN,D09,x_KAN_1,2
A06,01_03,YCQ x,x,KAN,D10,x_KAN_1,2
B01,01_03,CCH x,x,KAN,D11,x_KAN_1,2
B02,01_03,CCH x,x,KAN,D12,x_KAN_1,2
B03,01_03,CCH x,x,KAN,E01,x_KAN_1,2
B05,01_03,YCQ x,x,KAN,E02,x_KAN_1,2
C02,01_03,CCH x,x,KAN,E03,x_KAN_1,2
C08,01_03,YCQ x,x,KAN,E04,x_KAN_1,2
C10,01_03,CRD x,x,KAN,E05,x_KAN_1,2
C11,01_03,CRD x,x,KAN,E06,x_KAN_1,2
D06,01_03,YCQ x,x,KAN,E07,x_KAN_1,2
D07,01_03,YCQ x,x,KAN,E08,x_KAN_1,2
E04,01_03,BRE x,x,KAN,E09,x_KAN_1,2
F02,01_03,BRE x,x,KAN,E11,x_KAN_1,2
G01,01_03,BRE x,x,KAN,E12,x_KAN_1,2
G03,01_03,BRE x,x,KAN,F01,x_KAN_1,2
B05,01_04,YCO x,x,KAN,F02,x_KAN_1,2
B11,01_04,CGB x,x,KAN,F03,x_KAN_1,2
C10,01_04,CGB x,x,KAN,F04,x_KAN_1,2
C11,01_04,CGB x,x,KAN,F05,x_KAN_1,2
D06,01_04,YCO x,x,KAN,F06,x_KAN_1,2
D07,01_04,YCO x,x,KAN,F07,x_KAN_1,2
D10,01_04,CGB x,x,KAN,F08,x_KAN_1,2
E05,01_04,CCD x,x,KAN,F09,x_KAN_1,2
